""
"50","age_score, n (%)","","","","0.838"
"51","  2","592 (23)","371 (24)","221 (23)",""
"52","  3","1186 (46)","726 (46)","460 (47)",""
"53","  4","779 (30)","481 (30)","298 (30)",""
"54","los_hospital, Median (Q1,Q3)","9.01 (5.65, 15.59)","7.76 (4.9, 12.46)","12.7 (7.52, 21.61)","< 0.001"
"55","admission_age, Median (Q1,Q3)","75.49 (70.48, 81.54)","75.54 (70.34, 81.53)","75.29 (70.62, 81.54)","0.816"
"56","los_icu, Median (Q1,Q3)","2.82 (1.71, 5.29)","2.08 (1.44, 3.44)","5.18 (2.78, 9.52)","< 0.001"
"57","sbp_idx1, Median (Q1,Q3)","122 (107, 140)","122 (107, 140)","122 (106, 139)","0.156"
"58","dbp_idx1, Median (Q1,Q3)","65 (55, 77)","65 (55, 77)","65 (54, 78)","0.575"
"59","mbp_idx1, Median (Q1,Q3)","82 (72, 94)","83 (73, 94)","81 (70, 93.5)","0.064"
"60","temperature_idx1, Median (Q1,Q3)","36.67 (36.44, 37)","36.67 (36.44, 36.94)","36.72 (36.44, 37)","0.005"
"61","resp_rate_idx1, Median (Q1,Q3)","19 (16, 24)","19 (16, 24)","20 (16, 24)","< 0.001"
"62","spo2_idx1, Median (Q1,Q3)","97 (94, 100)","97 (94, 100)","97 (94, 100)","0.261"
"63","glucose_idx1, Median (Q1,Q3)","134 (108, 174)","131 (107, 169)","139 (110, 182)","0.001"
"64","inr_idx1, Median (Q1,Q3)","1.3 (1.1, 1.5)","1.3 (1.1, 1.5)","1.3 (1.1, 1.5)","0.069"
"65","pt_idx1, Median (Q1,Q3)","13.8 (12.2, 16.3)","13.6 (12.2, 16.2)","13.9 (12.3, 16.6)","0.036"
"66","aniongap_idx1, Median (Q1,Q3)","14 (11, 17)","13 (11, 16)","14 (12, 18)","< 0.001"
"67","bicarbote_idx1, Median (Q1,Q3)","23 (21, 26)","23 (21, 26)","23 (20, 26)","< 0.001"
"68","potassium_idx1, Median (Q1,Q3)","4.3 (3.9, 4.8)","4.3 (3.9, 4.7)","4.4 (3.9, 4.8)","0.008"
"69","sodium_idx1, Median (Q1,Q3)","138 (135, 141)","138 (135, 141)","138 (135, 142)","0.261"
"70","glucose_idx1_18, Median (Q1,Q3)","131 (107, 167)","128 (106, 160)","136 (108, 177.5)","< 0.001"
"71","creatinine_idx1, Median (Q1,Q3)","1.1 (0.8, 1.6)","1 (0.8, 1.5)","1.2 (0.8, 1.9)","< 0.001"
"72","bun_idx1, Median (Q1,Q3)","22 (16, 36)","20 (15, 32)","25 (18, 44)","< 0.001"
"73","wbc_idx1, Median (Q1,Q3)","10.9 (7.9, 15.1)","10.6 (7.7, 14.8)","11.5 (8.3, 15.8)","< 0.001"
"74","rbc_idx1, Median (Q1,Q3)","3.5 (2.96, 4.06)","3.49 (2.97, 4.06)","3.52 (2.94, 4.08)","0.96"
"75","platelet_idx1, Median (Q1,Q3)","188 (142, 249)","188 (143, 246)","189 (139, 253.5)","0.913"
"76","hemoglobin_idx1, Median (Q1,Q3)","10.3 (8.6, 11.9)","10.3 (8.7, 11.9)","10.3 (8.5, 11.9)","0.466"
"77","ph_idx1, Median (Q1,Q3)","7.36 (7.3, 7.4)","7.37 (7.31, 7.41)","7.35 (7.28, 7.4)","< 0.001"
"78","baseexcess_idx1, Median (Q1,Q3)","0 (-3, 2)","0 (-2, 2)","0 (-4, 2)","< 0.001"
"79","apsiii_min, Median (Q1,Q3)","43 (32, 55)","39 (30, 49)","50 (38, 63)","< 0.001"
"80","sofa_idx1, Median (Q1,Q3)","1 (0, 3)","1 (0, 2)","2 (0, 4)","< 0.001"
"81","gcs_idx1, Median (Q1,Q3)","15 (15, 15)","15 (15, 15)","15 (14, 15)","< 0.001"
"82","noninvasive_ventilator_hours, Median (Q1,Q3)","32 (16.68, 58)","27 (15.69, 47)","40.25 (21.2, 79.28)","< 0.001"
"83","aki_stage, n (%)","","","","< 0.001"
"84","  1","695 (27)","536 (34)","159 (16)",""
"85","  2","1236 (48)","781 (49)","455 (46)",""
"86","  3","626 (24)","261 (17)","365 (37)",""
"87","urineoutput_sum, Median (Q1,Q3)","1335 (850, 2090)","1360 (890, 2110)","1300 (800, 2037)","0.028"
"88","heart_rate_idx1, Median (Q1,Q3)","85 (74, 100)","84 (75, 97)","87 (74, 103)","0.008"
